AMD Ryzen 7 5800X Processor (8C/16T 36MB Cache Up to 4.7 GHz Max Boost),,,,,,,,,,,£376.57
AMD Ryzen 5 3600 Processor (6C/12T 35 MB Cache 4.2 GHz Max Boost),,,,,,,,,,,£168.00
AMD Ryzen 3 3100 processor 3.6 GHz Box 2 MB L2 Ryzen 3 3100 Ryzen 3 3rd Gen 3.6 GHz Socket AM4 PC 7 nm 64-bit,,,,,,,,,,,NA
Intel Core i5-10600K (Base Clock 4.10GHz; Socket LGA1200; 125 Watt) Box,,,,,,,,,,,£191.99
Intel Pentium Gold G5420 Processor 3.8 GHz Box 4 MB Smart Cache – Processors (Intel Pentium Gold 3.8 GHz LGA 1151 (H4 Slot) PC 14 nm G5420),,,,,,,,,,,£119.90
Intel Core i9-10900K Desktop Processor 10 Cores up to 5.3 GHz Unlocked  LGA1200 (Intel 400 Series Chipset) 125W,,,,,,,,,,,£439.98
